"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Greene, Riley",682985,2026,492,294,0.273,0.258,0.015,0.45,0.478,-0.028,0.356,0.363,-0.007
"Caglianone, Jac",695506,2026,492,330,0.284,0.283,0.001,0.499,0.513,-0.014,0.359,0.361,-0.002
"Winn, Masyn",691026,2026,490,334,0.238,0.248,-0.01,0.326,0.333,-0.007,0.289,0.299,-0.01
"McCarthy, Jake",664983,2026,490,378,0.289,0.275,0.014,0.473,0.408,0.065,0.347,0.32,0.027
"Hicks, Liam",689414,2026,489,383,0.29,0.258,0.032,0.447,0.356,0.091,0.359,0.317,0.042
"Clemens, Kody",665019,2026,488,340,0.238,0.253,-0.015,0.466,0.463,0.003,0.327,0.335,-0.008
"Goodman, Hunter",696100,2026,488,285,0.255,0.23,0.025,0.543,0.468,0.075,0.367,0.329,0.038
"Smith, Cam",701358,2026,483,320,0.214,0.242,-0.028,0.392,0.428,-0.036,0.294,0.321,-0.027
"DeLauter, Chase",800050,2026,480,359,0.293,0.277,0.016,0.454,0.425,0.029,0.359,0.344,0.015
"Castro, Willi",650489,2026,477,301,0.26,0.236,0.024,0.417,0.39,0.027,0.33,0.309,0.021
"Grisham, Trent",663757,2026,476,328,0.209,0.242,-0.033,0.397,0.428,-0.031,0.311,0.336,-0.025
"Muncy, Max",571970,2026,473,294,0.251,0.242,0.009,0.494,0.471,0.023,0.362,0.349,0.013
"Altuve, Jose",514888,2026,471,335,0.248,0.222,0.026,0.397,0.327,0.07,0.311,0.275,0.036
"García Jr., Luis",671277,2026,471,369,0.285,0.286,-0.001,0.549,0.503,0.046,0.37,0.353,0.017
"Bellinger, Cody",641355,2026,471,341,0.259,0.276,-0.017,0.416,0.417,-0.001,0.335,0.345,-0.01
"Antonacci, Sam",803011,2026,468,332,0.269,0.273,-0.004,0.393,0.389,0.004,0.342,0.341,0.001
"Varsho, Daulton",662139,2026,466,333,0.228,0.232,-0.004,0.359,0.353,0.006,0.288,0.287,0.001
"Chourio, Jackson",694192,2026,465,314,0.281,0.255,0.026,0.476,0.467,0.009,0.353,0.336,0.017
"Semien, Marcus",543760,2026,460,326,0.218,0.249,-0.031,0.347,0.386,-0.039,0.278,0.305,-0.027
"Bleday, JJ",668709,2026,459,293,0.216,0.244,-0.028,0.425,0.429,-0.004,0.333,0.348,-0.015
